,Year,total_minutes,Revenue,month_sin_1,month_cos_1,month_sin_2,month_cos_2,month_sin_3,month_cos_3,month_sin_4,month_cos_4,Action,Adventure,Comedy,Crime,Documentary,Drama,Fantasy,Romance,Sci-Fi,Thriller,week_sin_1,week_cos_1,week_sin_2,week_cos_2,week_sin_3,week_cos_3,week_sin_4,week_cos_4,last_week_revenue,target,change_from_last_week,rolling_std_2,rolling_mean_2,MPAA_G,MPAA_NC-17,MPAA_PG,MPAA_PG-13,MPAA_R,movie_id
12396,41,137,14.571657889476924,-2.4492935982947064e-16,1.0,-4.898587196589413e-16,1.0,-7.347880794884119e-16,1.0,-9.797174393178826e-16,1.0,0,0,0,1,0,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587337,-0.9749279121818235,-0.2225209339563148,0.9749279121818237,-0.22252093395631387,14.981377363611829,13.965200446094876,-0.4097194741349046,0.4288301707165011,14.2684291677859,0,0,1,0,0,1377
12397,41,137,13.965200446094876,-2.4492935982947064e-16,1.0,-4.898587196589413e-16,1.0,-7.347880794884119e-16,1.0,-9.797174393178826e-16,1.0,0,0,0,1,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.43388373911755845,-0.9009688679024189,0.7818314824680295,0.6234898018587339,-0.7818314824680302,0.6234898018587329,14.571657889476924,12.949209270835032,-0.6064574433820482,0.7184142496519249,13.457204858464955,0,0,1,0,0,1377
12398,41,137,12.949209270835032,-2.4492935982947064e-16,1.0,-4.898587196589413e-16,1.0,-7.347880794884119e-16,1.0,-9.797174393178826e-16,1.0,0,0,0,1,0,1,0,0,0,0,-0.7818314824680299,0.6234898018587334,-0.9749279121818235,-0.2225209339563148,-0.43388373911755757,-0.9009688679024194,0.4338837391175589,-0.9009688679024188,13.965200446094876,12.465154606049968,-1.0159911752598436,0.34227833593450313,12.707181938442499,0,0,1,0,0,1377
12399,41,137,12.465154606049968,-2.4492935982947064e-16,1.0,-4.898587196589413e-16,1.0,-7.347880794884119e-16,1.0,-9.797174393178826e-16,1.0,0,0,0,1,0,1,0,0,0,0,-2.4492935982947064e-16,1.0,-4.898587196589413e-16,1.0,-7.347880794884119e-16,1.0,-9.797174393178826e-16,1.0,12.949209270835032,11.84040740975331,-0.48405466478506476,0.44176297902865447,12.152781007901638,0,0,1,0,0,1377
12400,41,137,11.84040740975331,-2.4492935982947064e-16,1.0,-4.898587196589413e-16,1.0,-7.347880794884119e-16,1.0,-9.797174393178826e-16,1.0,0,0,0,1,0,1,0,0,0,0,0.7818314824680296,0.6234898018587337,0.9749279121818237,-0.22252093395631387,0.4338837391175589,-0.9009688679024188,-0.4338837391175571,-0.9009688679024196,12.465154606049968,10.632556742272136,-0.6247471962966582,0.8540793976366394,11.236482076012724,0,0,1,0,0,1377
12403,28,108,10.639215180631192,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983,0,0,1,0,0,0,1,1,0,0,0.9749279121818236,-0.22252093395631434,-0.433883739117558,-0.9009688679024191,-0.7818314824680299,0.6234898018587334,0.7818314824680296,0.6234898018587337,11.097303954777678,9.824552564447986,-0.45808877414648563,0.5760534602823186,10.231883872539589,0,0,0,1,0,1378
12404,28,108,9.824552564447986,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983,0,0,1,0,0,0,1,1,0,0,0.43388373911755823,-0.900968867902419,-0.7818314824680299,0.6234898018587334,0.9749279121818237,-0.2225209339563141,-0.9749279121818235,-0.2225209339563148,10.639215180631192,8.413387022690648,-0.814662616183206,0.9978447239534018,9.118969793569317,0,0,0,1,0,1378
12405,28,108,8.413387022690648,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983,0,0,1,0,0,0,1,1,0,0,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587337,-0.9749279121818235,-0.2225209339563148,0.9749279121818237,-0.22252093395631387,9.824552564447986,13.33895752814038,-1.411165541757338,3.482904305615957,10.876172275415513,0,0,0,1,0,1378
12406,28,108,13.33895752814038,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983,0,0,1,0,0,0,1,1,0,0,-0.9749279121818236,-0.2225209339563146,0.43388373911755845,-0.9009688679024189,0.7818314824680295,0.6234898018587339,-0.7818314824680302,0.6234898018587329,8.413387022690648,12.696108655088608,4.925570505449732,0.4545627974130518,13.017533091614494,0,0,0,1,0,1378
12407,28,108,12.696108655088608,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983,0,0,1,0,0,0,1,1,0,0,-0.7818314824680299,0.6234898018587334,-0.9749279121818235,-0.2225209339563148,-0.43388373911755757,-0.9009688679024194,0.4338837391175589,-0.9009688679024188,13.33895752814038,12.251705449527371,-0.6428488730517721,0.3142405202334035,12.47390705230799,0,0,0,1,0,1378
12408,28,108,12.251705449527371,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983,0,0,1,0,0,0,1,1,0,0,-2.4492935982947064e-16,1.0,-4.898587196589413e-16,1.0,-7.347880794884119e-16,1.0,-9.797174393178826e-16,1.0,12.696108655088608,11.481610221087799,-0.4444032055612368,0.5445395581890291,11.866657835307585,0,0,0,1,0,1378
12409,28,108,11.481610221087799,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983,0,0,1,0,0,0,1,1,0,0,0.7818314824680296,0.6234898018587337,0.9749279121818237,-0.22252093395631387,0.4338837391175589,-0.9009688679024188,-0.4338837391175571,-0.9009688679024196,12.251705449527371,14.951274112263176,-0.7700952284395726,2.4534228658882165,13.216442166675488,0,0,0,1,0,1378
12412,32,101,15.536646898987303,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983,0,0,1,0,0,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,-0.433883739117558,-0.9009688679024191,-0.7818314824680299,0.6234898018587334,0.7818314824680296,0.6234898018587337,16.157954621920204,15.047616488544357,-0.6213077229329009,0.3457967194306483,15.29213169376583,0,0,0,0,0,1379
12413,32,101,15.047616488544357,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983,0,0,1,0,0,0,0,1,0,0,0.43388373911755823,-0.900968867902419,-0.7818314824680299,0.6234898018587334,0.9749279121818237,-0.2225209339563141,-0.9749279121818235,-0.2225209339563148,15.536646898987303,13.863509933352185,-0.4890304104429468,0.8372897748238265,14.45556321094827,0,0,0,0,0,1379
12414,32,101,13.863509933352185,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983,0,0,1,0,0,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587337,-0.9749279121818235,-0.2225209339563148,0.9749279121818237,-0.22252093395631387,15.047616488544357,13.00076055564508,-1.1841065551921712,0.6100559354411644,13.432135244498632,0,0,0,0,0,1379
12415,32,101,13.00076055564508,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983,0,0,1,0,0,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,0.43388373911755845,-0.9009688679024189,0.7818314824680295,0.6234898018587339,-0.7818314824680302,0.6234898018587329,13.863509933352185,12.332828636874419,-0.8627493777071056,0.4722991891336685,12.666794596259749,0,0,0,0,0,1379
12416,32,101,12.332828636874419,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,3.061616997868383e-16,-0.8660254037844387,-0.49999999999999983,0,0,1,0,0,0,0,1,0,0,-0.7818314824680299,0.6234898018587334,-0.9749279121818235,-0.2225209339563148,-0.43388373911755757,-0.9009688679024194,0.4338837391175589,-0.9009688679024188,13.00076055564508,11.622335769153334,-0.6679319187706607,0.5023943247502457,11.977582203013878,0,0,0,0,0,1379
