,target
339,15.228236750064347
340,15.179279618675096
343,7.675546002537848
344,9.171391621837609
345,9.274253697719836
346,10.069764412161227
347,9.067047202149707
348,7.906547232368036
349,11.156650441052824
352,15.760785505321698
353,15.03117672763122
354,14.396504761800937
355,13.253260052206095
356,13.313025058473285
357,13.014700212683827
358,12.676373105717246
361,11.809401259066487
362,11.404003057746042
363,11.034066744876965
364,11.785719762427908
365,11.032952304687003
366,16.027567588581878
367,15.400846538321915
370,15.74900639591591
371,15.143711980476645
372,14.396128813323829
373,13.962074531376004
374,12.61416097664503
375,11.123683054437908
376,10.828599264916061
379,12.486382610652333
380,11.626423778746652
381,15.325372525139992
382,16.98677136790462
383,16.566526310526132
384,16.188357170703988
385,15.702850019078948
415,16.88860032183581
416,16.7233152531261
417,16.12872100145921
418,16.095541507711623
419,15.793265106111845
420,14.645224582002838
421,13.420259607290124
424,15.96223754764617
425,15.319098056982456
426,14.201102836312124
427,12.97562052507872
428,12.200582602786536
429,12.324597628098084
430,12.099989646722017
433,12.069622712392276
434,11.536339211379243
435,11.955018183455126
436,11.802246194090518
437,16.77308504525799
438,16.4253909210009
439,16.047403085810142
442,16.318422059887936
443,15.886329910170586
444,15.61851193284448
445,15.358972756994579
446,14.993715606940938
447,14.483768556615365
448,14.41533283675071
451,9.113939597689829
452,8.669227347271736
453,7.86403565907245
454,8.219056661060598
455,11.427476503137745
456,11.324364483386255
457,10.97243069954219
460,14.486591050174972
461,14.335931003853137
462,13.350924228616481
463,12.10956174514933
464,12.011334318721131
465,11.603953763317792
466,11.501864517610803
469,12.226120340833951
470,12.124537157547655
471,11.831197361376015
472,11.489298534339072
473,11.445502788652794
474,11.18017628914914
475,12.137419002213125
478,11.857514669693389
479,12.76191274308056
480,12.244211042421227
481,16.466531466301817
482,16.252716487423335
483,15.729981048504893
484,15.338332942322952
487,17.04623625494891
488,16.71358628614996
489,16.26358533238598
490,16.134674951659573
491,15.850052793758888
492,15.467662114620637
493,15.39697647651027
496,9.826012379256717
497,14.93645364795073
498,14.299808411267287
499,13.027892245500844
500,12.38159195272594
501,12.324477709908795
502,12.218978999079683
514,14.255800835526315
515,12.994582277255546
516,12.429452169000765
517,10.870357323778437
518,9.868689046993433
519,9.530900972993903
520,7.7354333524996886
523,15.446051232544997
524,15.206849672888898
525,14.868650123664867
526,14.31557225800015
527,13.442616216429968
528,12.44440821158288
529,11.176487227771029
532,15.788519481712187
533,15.391694433177884
534,11.966939438296304
535,11.258200943209816
536,11.333930369364412
537,11.160356366215561
538,11.071921258241396
541,16.700776078972048
542,16.471632947626084
543,16.206738837488935
544,15.928924086339187
545,15.710558898475998
546,15.571425900283364
547,15.213675929004301
550,11.172250408863095
551,10.703626417674236
552,9.76921302671366
553,11.654633338878886
554,11.67162862366544
555,10.825839875788878
556,16.064314211070876
559,11.356037709433084
